WEEKKEY_FOLHETO,TIME_I,TIME_F,week_id,amc,tenPerc_fiveEuro,fifteen_perc
2018000,20180101,20180101,1,0,0,0
2018001,20180102,20180108,2,0,0,0
2018002,20180109,20180115,3,0,0,0
2018003,20180116,20180122,4,0,0,0
2018004,20180123,20180129,5,0,0,0
2018005,20180130,20180205,6,0,0,0
2018006,20180206,20180212,7,0,0,0
2018007,20180213,20180219,8,0,0,0
2018008,20180220,20180226,9,0,0,0
2018009,20180227,20180305,10,0,0,0
2018010,20180306,20180312,11,0,0,0
2018011,20180313,20180319,12,0,0,0
2018012,20180320,20180326,13,0,0,0
2018013,20180327,20180402,14,0,0,0
2018014,20180403,20180409,15,0,0,0
2018015,20180410,20180416,16,0,0,0
2018016,20180417,20180423,17,0,0,0
2018017,20180424,20180430,18,0,0,0
2018018,20180501,20180507,19,0,0,0
2018019,20180508,20180514,20,0,0,0
2018020,20180515,20180521,21,0,0,0
2018021,20180522,20180528,22,0,0,0
2018022,20180529,20180604,23,0,0,0
2018023,20180605,20180611,24,0,0,0
2018024,20180612,20180618,25,0,0,0
2018025,20180619,20180625,26,0,0,0
2018026,20180626,20180702,27,0,0,0
2018027,20180703,20180709,28,0,0,0
2018028,20180710,20180716,29,0,0,0
2018029,20180717,20180723,30,0,0,0
2018030,20180724,20180730,31,0,0,0
2018031,20180731,20180806,32,0,0,0
2018032,20180807,20180813,33,0,0,0
2018033,20180814,20180820,34,0,0,0
2018034,20180821,20180827,35,0,0,0
2018035,20180828,20180903,36,0,0,0
2018036,20180904,20180910,37,0,0,0
2018037,20180911,20180917,38,0,0,0
2018038,20180918,20180924,39,0,0,0
2018039,20180925,20181001,40,0,0,0
2018040,20181002,20181008,41,0,0,0
2018041,20181009,20181015,42,0,0,0
2018042,20181016,20181022,43,0,0,0
2018043,20181023,20181029,44,0,0,0
2018044,20181030,20181105,45,0,0,0
2018045,20181106,20181112,46,0,0,0
2018046,20181113,20181119,47,0,0,0
2018047,20181120,20181126,48,0,0,0
2018048,20181127,20181203,49,0,0,0
2018049,20181204,20181210,50,0,0,0
2018050,20181211,20181217,51,0,0,0
2018051,20181218,20181224,52,0,0,0
2018052,20181225,20181231,53,0,0,0
2019001,20190101,20190107,54,0,0,0
2019002,20190108,20190114,55,0,0,0
2019003,20190115,20190121,56,0,0,0
2019004,20190122,20190128,57,0,0,0
2019005,20190129,20190204,58,0,0,0
2019006,20190205,20190211,59,0,0,0
2019007,20190212,20190218,60,0,0,0
2019008,20190219,20190225,61,0,0,0
2019009,20190226,20190304,62,0,0,0
2019010,20190305,20190311,63,0,0,0
2019011,20190312,20190318,64,0,0,0
2019012,20190319,20190325,65,0,0,0
2019013,20190326,20190401,66,0,0,0
2019014,20190402,20190408,67,0,0,0
2019015,20190409,20190415,68,0,0,0
2019016,20190416,20190422,69,0,0,0
2019017,20190423,20190429,70,0,0,0
2019018,20190430,20190506,71,0,0,0
2019019,20190507,20190513,72,0,0,0
2019020,20190514,20190520,73,0,0,0
2019021,20190521,20190527,74,0,0,0
2019022,20190528,20190603,75,0,0,0
2019023,20190604,20190610,76,0,0,0
2019024,20190611,20190617,77,0,0,0
2019025,20190618,20190624,78,0,0,0
2019026,20190625,20190701,79,0,0,0
2019027,20190702,20190708,80,0,0,0
2019028,20190709,20190715,81,0,0,0
2019029,20190716,20190722,82,0,0,0
2019030,20190723,20190729,83,0,0,0
2019031,20190730,20190805,84,0,0,0
2019032,20190806,20190812,85,0,0,0
2019033,20190813,20190819,86,0,0,0
2019034,20190820,20190826,87,0,0,0
2019035,20190827,20190902,88,0,0,0
2019036,20190903,20190909,89,0,0,0
2019037,20190910,20190916,90,0,0,0
2019038,20190917,20190923,91,0,0,0
2019039,20190924,20190930,92,0,0,0
2019040,20191001,20191007,93,0,0,0
2019041,20191008,20191014,94,0,0,0
2019042,20191015,20191021,95,0,0,0
2019043,20191022,20191028,96,0,0,0
2019044,20191029,20191104,97,0,0,0
2019045,20191105,20191111,98,0,0,0
2019046,20191112,20191118,99,0,0,0
2019047,20191119,20191125,100,0,0,0
2019048,20191126,20191202,101,0,0,0
2019049,20191203,20191209,102,0,0,0
2019050,20191210,20191216,103,0,0,0
2019051,20191217,20191223,104,0,0,0
2019052,20191224,20191230,105,0,0,0
2019053,20191231,20191231,106,0,0,0
2020001,20200101,20200106,107,0,0,0
2020002,20200107,20200113,108,0,0,0
2020003,20200114,20200120,109,0,0,0
2020004,20200121,20200127,110,0,0,0
2020005,20200128,20200203,111,0,0,0
2020006,20200204,20200210,112,0,0,0
2020007,20200211,20200217,113,0,0,0
2020008,20200218,20200224,114,0,0,0
2020009,20200225,20200302,115,0,0,0
2020010,20200303,20200309,116,0,0,0
2020011,20200310,20200316,117,0,0,0
2020012,20200317,20200323,118,0,0,0
2020013,20200324,20200330,119,0,0,0
2020014,20200331,20200406,120,0,0,0
2020015,20200407,20200413,121,0,0,0
2020016,20200414,20200420,122,0,0,0
2020017,20200421,20200427,123,0,0,0
2020018,20200428,20200504,124,0,0,0
2020019,20200505,20200511,125,0,0,0
2020020,20200512,20200518,126,0,0,0
2020021,20200519,20200525,127,0,0,0
2020022,20200526,20200601,128,0,0,0
2020023,20200602,20200608,129,0,0,0
2020024,20200609,20200615,130,0,0,0
2020025,20200616,20200622,131,0,0,0
2020026,20200623,20200629,132,0,0,0
2020027,20200630,20200706,133,0,0,0
2020028,20200707,20200713,134,0,0,0
2020029,20200714,20200720,135,0,0,0
2020030,20200721,20200727,136,0,0,0
2020031,20200728,20200803,137,0,0,0
2020032,20200804,20200810,138,0,0,0
2020033,20200811,20200817,139,0,0,0
2020034,20200818,20200824,140,0,0,0
2020035,20200825,20200831,141,0,0,0
2020036,20200901,20200907,142,0,0,0
2020037,20200908,20200914,143,0,0,0
2020038,20200915,20200921,144,0,0,0
2020039,20200922,20200928,145,0,0,0
2020040,20200929,20201005,146,0,0,0
2020041,20201006,20201012,147,0,0,0
2020042,20201013,20201019,148,0,0,0
2020043,20201020,20201026,149,0,0,0
2020044,20201027,20201102,150,0,0,0
2020045,20201103,20201109,151,0,0,0
2020046,20201110,20201116,152,0,0,0
2020047,20201117,20201123,153,0,0,0
2020048,20201124,20201130,154,0,0,0
2020049,20201201,20201207,155,0,0,0
2020050,20201208,20201214,156,0,0,0
2020051,20201215,20201221,157,0,0,0
2020052,20201222,20201228,158,0,0,0
2020053,20201229,20201231,159,0,0,0
2021001,20210101,20210104,160,0,0,0
2021002,20210105,20210111,161,0,0,0
2021003,20210112,20210118,162,0,0,0
2021004,20210119,20210125,163,0,0,0
2021005,20210126,20210201,164,0,0,0
2021006,20210202,20210208,165,0,0,0
2021007,20210209,20210215,166,0,0,0
2021008,20210216,20210222,167,0,0,0
2021009,20210223,20210301,168,0,0,0
2021010,20210302,20210308,169,0,0,0
2021011,20210309,20210315,170,0,0,0
2021012,20210316,20210322,171,0,0,0
2021013,20210323,20210329,172,0,0,0
